Product_ID,Product_Name,SubCat_ID,Unit_Price,Unit_Cost
P100,HP Victus 15,1,125000.0,87901.0
P101,Dell XPS 13,1,260000.0,167880.0
P102,MacBook Air M2,1,195000.0,141052.0
P103,Lenovo ThinkPad,1,98000.0,63780.0
P104,Asus ROG Strix,1,310000.0,196558.0
P105,HP Pavilion Desktop,2,85000.0,52017.0
P106,Custom Gaming PC,2,320000.0,198987.0
P107,Dell OptiPlex,2,65000.0,40453.0
P108,Samsung Odyssey G5,3,48000.0,31082.0
P109,LG UltraGear,3,42000.0,31127.0
P110,Dell 24 Monitor,3,24000.0,15039.0
P111,Samsung S23 Ultra,4,185000.0,117065.0
P112,Xiaomi Redmi Note 12,4,38000.0,25796.0
P113,Oppo Reno 8,4,58000.0,37157.0
P114,Realme GT3,4,75000.0,53367.0
P115,iPhone 14 Pro,5,230000.0,161913.0
P116,iPhone 13,5,145000.0,90588.0
P117,iPhone 15 Pro Max,5,290000.0,209699.0
P118,Samsung Charger 25W,6,3500.0,2473.0
P119,iPhone Cable,6,2800.0,1695.0
P120,Phone Case Silicon,6,1500.0,1029.0
P121,Screen Protector,6,800.0,526.0
P122,Sony WH-1000XM5,7,68000.0,43059.0
P123,JBL Tune 510BT,7,9500.0,7113.0
P124,AirPods Pro,7,48000.0,33033.0
P125,Redmi Buds 4,7,4500.0,3086.0
P126,JBL Flip 6,8,24000.0,17991.0
P127,Sony SRS-XB13,8,9500.0,6907.0
P128,Canon EOS 4000D,10,58000.0,37743.0
P129,Nikon D3500,10,68000.0,46007.0
P130,DJI Mini 3,12,130000.0,83075.0
P131,DJI Mavic 3,12,360000.0,218747.0
P132,Canon i-Sensys,13,38000.0,23961.0
P133,HP LaserJet Pro,13,45000.0,32905.0
P134,Epson EcoTank,14,28000.0,17855.0
P135,Canon Pixma,14,12000.0,8606.0
P136,HP 650 Black,15,2500.0,1606.0
P137,Canon 445 Black,15,2200.0,1422.0
